id,AL,AK,AZ,AR,CA,CO,CT,FL,GA,ID,IL,IN,IA,KS,KY,LA,MD,MA,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,OR,PA,RI,SC,TX,UT,VA,WA,WV,WI,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,felt_isolated,worried_become_ill,worried_finances,tested_positive,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,felt_isolated,worried_become_ill,worried_finances,tested_positive,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,felt_isolated,worried_become_ill,worried_finances,tested_positive
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81461,0.7713562,25.6489069,21.2420632,84.6446717,13.4624747,36.519841,63.1390944,23.8351187,44.7260552,16.9469288,1.7162617,15.4941927,12.0432752,17.0006473,53.4393163,43.279629,19.586492,0.8389952,0.8077665,25.6791006,21.2802696,84.005294,13.4677158,36.6378869,63.3186499,23.6888817,44.3851661,16.4635514,1.664819,15.2992283,12.0515055,16.5522637,53.2567949,43.6227275,20.1518381,0.8978015,0.8878931,26.0605436,21.5038315,84.4386175,13.0386108,36.4291187,62.4345385,23.8124113,43.4304231,16.1515266,1.602635,15.4094491,12.0886885,16.7020857,53.9915494,43.6042293,20.7049346
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8389952,0.8077665,25.6791006,21.2802696,84.005294,13.4677158,36.6378869,63.3186499,23.6888817,44.3851661,16.4635514,1.664819,15.2992283,12.0515055,16.5522637,53.2567949,43.6227275,20.1518381,0.8978015,0.8878931,26.0605436,21.5038315,84.4386175,13.0386108,36.4291187,62.4345385,23.8124113,43.4304231,16.1515266,1.602635,15.4094491,12.0886885,16.7020857,53.9915494,43.6042293,20.7049346,0.9728421,0.9654959,25.7540871,21.0162096,84.1338727,12.5819525,36.4165569,62.0245166,23.6829744,43.1963133,16.1233863,1.641863,15.230063,11.8090466,16.5069733,54.185521,42.6657659,21.2929114
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8978015,0.8878931,26.0605436,21.5038315,84.4386175,13.0386108,36.4291187,62.4345385,23.8124113,43.4304231,16.1515266,1.602635,15.4094491,12.0886885,16.7020857,53.9915494,43.6042293,20.7049346,0.9728421,0.9654959,25.7540871,21.0162096,84.1338727,12.5819525,36.4165569,62.0245166,23.6829744,43.1963133,16.1233863,1.641863,15.230063,11.8090466,16.5069733,54.185521,42.6657659,21.2929114,0.9553056,0.9630788,25.9470152,20.9417983,83.9959314,12.9386746,37.0145781,62.1168425,23.5939831,43.3621996,16.1599712,1.6775228,15.7172069,12.3559175,16.2732936,53.6370693,42.972417,21.1666563
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9728421,0.9654959,25.7540871,21.0162096,84.1338727,12.5819525,36.4165569,62.0245166,23.6829744,43.1963133,16.1233863,1.641863,15.230063,11.8090466,16.5069733,54.185521,42.6657659,21.2929114,0.9553056,0.9630788,25.9470152,20.9417983,83.9959314,12.9386746,37.0145781,62.1168425,23.5939831,43.3621996,16.1599712,1.6775228,15.7172069,12.3559175,16.2732936,53.6370693,42.972417,21.1666563,0.9475134,0.9687637,26.3505008,21.1099714,83.819531,12.4523364,36.2700205,61.2948091,22.576992,42.9545742,15.5443726,1.57803,15.2956498,12.2181227,16.045504,52.4462226,42.907472,19.8966066
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9553056,0.9630788,25.9470152,20.9417983,83.9959314,12.9386746,37.0145781,62.1168425,23.5939831,43.3621996,16.1599712,1.6775228,15.7172069,12.3559175,16.2732936,53.6370693,42.972417,21.1666563,0.9475134,0.9687637,26.3505008,21.1099714,83.819531,12.4523364,36.2700205,61.2948091,22.576992,42.9545742,15.5443726,1.57803,15.2956498,12.2181227,16.045504,52.4462226,42.907472,19.8966066,0.8838331,0.8930201,26.4806235,21.0039825,84.0494373,12.2246442,35.3801985,60.6644818,22.0914329,43.2909568,15.2146549,1.6416667,14.7788022,12.4172561,16.1342379,52.5603154,43.3219853,20.1784284
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9475134,0.9687637,26.3505008,21.1099714,83.819531,12.4523364,36.2700205,61.2948091,22.576992,42.9545742,15.5443726,1.57803,15.2956498,12.2181227,16.045504,52.4462226,42.907472,19.8966066,0.8838331,0.8930201,26.4806235,21.0039825,84.0494373,12.2246442,35.3801985,60.6644818,22.0914329,43.2909568,15.2146549,1.6416667,14.7788022,12.4172561,16.1342379,52.5603154,43.3219853,20.1784284,0.887642,0.850387,26.6658737,20.9870792,84.0259366,12.1467177,35.3812228,60.5317692,21.6793964,43.3453403,15.5489761,1.8732295,15.3462628,12.9510896,16.5239897,52.1852599,43.6001002,18.1318136
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8838331,0.8930201,26.4806235,21.0039825,84.0494373,12.2246442,35.3801985,60.6644818,22.0914329,43.2909568,15.2146549,1.6416667,14.7788022,12.4172561,16.1342379,52.5603154,43.3219853,20.1784284,0.887642,0.850387,26.6658737,20.9870792,84.0259366,12.1467177,35.3812228,60.5317692,21.6793964,43.3453403,15.5489761,1.8732295,15.3462628,12.9510896,16.5239897,52.1852599,43.6001002,18.1318136,0.8265824,0.7929243,26.8403605,21.2625451,84.1883294,12.2038522,35.3484943,60.3349178,21.9705985,43.6323341,16.1795621,2.077821,15.2497444,13.1114494,17.2615839,52.5441805,42.7503874,15.5174904
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887642,0.850387,26.6658737,20.9870792,84.0259366,12.1467177,35.3812228,60.5317692,21.6793964,43.3453403,15.5489761,1.8732295,15.3462628,12.9510896,16.5239897,52.1852599,43.6001002,18.1318136,0.8265824,0.7929243,26.8403605,21.2625451,84.1883294,12.2038522,35.3484943,60.3349178,21.9705985,43.6323341,16.1795621,2.077821,15.2497444,13.1114494,17.2615839,52.5441805,42.7503874,15.5174904,0.8426527,0.764839,27.1729096,21.5698047,84.2962582,11.9782631,36.1082275,61.573888,22.6824591,44.5252429,16.4490654,2.0112196,15.1267175,13.124831,17.0182505,52.6215852,42.7074773,15.9616371
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8265824,0.7929243,26.8403605,21.2625451,84.1883294,12.2038522,35.3484943,60.3349178,21.9705985,43.6323341,16.1795621,2.077821,15.2497444,13.1114494,17.2615839,52.5441805,42.7503874,15.5174904,0.8426527,0.764839,27.1729096,21.5698047,84.2962582,11.9782631,36.1082275,61.573888,22.6824591,44.5252429,16.4490654,2.0112196,15.1267175,13.124831,17.0182505,52.6215852,42.7074773,15.9616371,0.8889316,0.7809198,26.9189554,21.5439154,83.9339968,11.8862871,35.8676443,62.0402433,23.1564338,44.8775757,16.7203483,1.9978917,15.0312445,12.6709595,16.8420152,52.4918315,43.7751171,13.0685272
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8426527,0.764839,27.1729096,21.5698047,84.2962582,11.9782631,36.1082275,61.573888,22.6824591,44.5252429,16.4490654,2.0112196,15.1267175,13.124831,17.0182505,52.6215852,42.7074773,15.9616371,0.8889316,0.7809198,26.9189554,21.5439154,83.9339968,11.8862871,35.8676443,62.0402433,23.1564338,44.8775757,16.7203483,1.9978917,15.0312445,12.6709595,16.8420152,52.4918315,43.7751171,13.0685272,0.8410328,0.7385124,26.3544523,20.9374284,83.4008735,11.5927885,35.9266012,62.0911973,23.6611909,44.6034737,16.6711747,2.0220022,14.535698,12.2705744,16.9152071,52.4020775,43.5346663,15.1780877
